,y,x,vel_change_bee_focal,count
0,0,0,0.13712870349657874,890206.0
1,0,1,0.13631606654500986,665278.0
2,0,2,0.13317005549646657,513848.0
3,0,3,0.1329584551662902,451953.0
4,0,4,0.1320712517792728,420054.0
5,0,5,0.13436714338284778,400238.0
6,0,6,0.13607651549189662,393397.0
7,0,7,0.13347814327270438,399017.0
8,0,8,0.12940371263555187,415875.0
9,0,9,0.12589832586758967,447536.0
10,0,10,0.11991576828949606,500889.0
11,0,11,0.10853922904968877,582776.0
12,0,12,0.09383966843284604,692908.0
13,0,13,0.06944172968011163,847146.0
14,0,14,0.03407884342723533,1093468.0
15,0,15,0.011815433548995283,1391356.0
16,1,0,0.14118004536659173,711039.0
17,1,1,0.13919987561396482,468890.0
18,1,2,0.1370134224051797,349868.0
19,1,3,0.13506400626745083,294391.0
20,1,4,0.13425724151340954,257922.0
21,1,5,0.13574237321047047,236948.0
22,1,6,0.1378337867250271,228102.0
23,1,7,0.1345925723851147,229496.0
24,1,8,0.12916038667190258,241758.0
25,1,9,0.12521518719570554,269496.0
26,1,10,0.1186591042013523,319212.0
27,1,11,0.10994878802937388,398767.0
28,1,12,0.0972629285984925,511491.0
29,1,13,0.07965770517838901,662131.0
30,1,14,0.050967314301340695,881042.0
31,1,15,0.015964298814648597,1223821.0
32,2,0,0.1441077483026545,566477.0
33,2,1,0.14055445415159407,336042.0
34,2,2,0.13908641094032317,233932.0
35,2,3,0.1382788191469396,179161.0
36,2,4,0.13493340315296656,143821.0
37,2,5,0.1408580212741333,123225.0
38,2,6,0.1425216490751567,111545.0
39,2,7,0.13478712237482748,108304.0
40,2,8,0.1256718524961194,115321.0
41,2,9,0.11803923250549196,136594.0
42,2,10,0.11086000344075318,178843.0
43,2,11,0.10447705737461732,252267.0
44,2,12,0.09267129599922544,366054.0
45,2,13,0.08031161109557153,522689.0
46,2,14,0.05828113780982838,736647.0
47,2,15,0.025935500612921387,1064114.0
48,3,0,0.14361631660961355,475218.0
49,3,1,0.14249969926115846,263338.0
50,3,2,0.14207179013293197,169255.0
51,3,3,0.14137165570057766,117736.0
52,3,4,0.14238491373078785,85155.0
53,3,5,0.1438820534092364,65020.0
54,3,6,0.14841415600432611,52674.0
55,3,7,0.14188111039410695,46330.0
56,3,8,0.1214184459497452,48255.0
57,3,9,0.10672452306175856,62263.0
58,3,10,0.10207944769983832,97312.0
59,3,11,0.09710591410734588,164406.0
60,3,12,0.08931610100959197,277634.0
61,3,13,0.08189309359856793,438920.0
62,3,14,0.0638580586922902,653777.0
63,3,15,0.03179253724741835,966827.0
64,4,0,0.1453036892291955,449283.0
65,4,1,0.14187860076381958,245562.0
66,4,2,0.13981703792567354,155839.0
67,4,3,0.13986019121600665,104360.0
68,4,4,0.15149414629113483,71518.0
69,4,5,0.1485885760420063,51518.0
70,4,6,0.15372062367862152,38182.0
71,4,7,0.14000788508291215,30273.0
72,4,8,0.12526515128776708,29175.0
73,4,9,0.10578687125432311,39481.0
74,4,10,0.10729921101851889,70581.0
75,4,11,0.09873823897055695,135149.0
76,4,12,0.08726045308862604,247972.0
77,4,13,0.0790328605251454,413112.0
78,4,14,0.06344620334104001,628654.0
79,4,15,0.0344665795317058,935065.0
80,5,0,0.1457270674405168,498395.0
81,5,1,0.14039761760706587,284220.0
82,5,2,0.14111830448652893,188325.0
83,5,3,0.1420189360639058,133922.0
84,5,4,0.14740866837080732,98389.0
85,5,5,0.14642399971416126,75228.0
86,5,6,0.14777926311637646,59865.0
87,5,7,0.1429187942559986,51596.0
88,5,8,0.1363546535774413,51330.0
89,5,9,0.12246138299139192,63793.0
90,5,10,0.10849493318210593,96854.0
91,5,11,0.0960192449784858,163956.0
92,5,12,0.09143001706730572,276736.0
93,5,13,0.0789584918083705,437993.0
94,5,14,0.06152271783490588,653210.0
95,5,15,0.032950446694197735,969475.0
96,6,0,0.14166030766780138,607552.0
97,6,1,0.1397764897402915,377244.0
98,6,2,0.1388548787887401,272220.0
99,6,3,0.13975051787665058,212479.0
100,6,4,0.13974482076567768,170908.0
101,6,5,0.1380645472527125,145262.0
102,6,6,0.13876868563335976,128401.0
103,6,7,0.13536374307790047,120657.0
104,6,8,0.1303675610454319,123284.0
105,6,9,0.11659091261351526,140535.0
106,6,10,0.10807357109558424,179876.0
107,6,11,0.0983096681659501,251486.0
108,6,12,0.09162240930496472,364296.0
109,6,13,0.0789726333506949,522148.0
110,6,14,0.05766009208163842,738395.0
111,6,15,0.028489594693075018,1070974.0
112,7,0,0.13865688010079896,765276.0
113,7,1,0.13720497710313012,523710.0
114,7,2,0.13559638603953583,403551.0
115,7,3,0.13378826855663997,343389.0
116,7,4,0.13373434322217365,299457.0
117,7,5,0.13447931501119084,271187.0
118,7,6,0.1319378080982549,256236.0
119,7,7,0.1299210461057909,251549.0
120,7,8,0.12492130276808908,257611.0
121,7,9,0.1194236953922839,278487.0
122,7,10,0.11018435420885066,323348.0
123,7,11,0.10195929722078866,399657.0
124,7,12,0.08945093888687031,511735.0
125,7,13,0.07540728345898562,664977.0
126,7,14,0.05137172119783323,886789.0
127,7,15,0.023359190087256045,1238112.0
128,8,0,0.1348931462172394,947925.0
129,8,1,0.13285025389480734,725390.0
130,8,2,0.13171735889748476,574077.0
131,8,3,0.12897376462283727,508983.0
132,8,4,0.1277902795347294,470229.0
133,8,5,0.12758567474937196,443238.0
134,8,6,0.12698721717086137,430343.0
135,8,7,0.12589630692629578,428684.0
136,8,8,0.12132396523758995,438037.0
137,8,9,0.11547841849989415,463939.0
138,8,10,0.1076924056285853,511068.0
139,8,11,0.0982389192893009,588891.0
140,8,12,0.08656109987769683,699539.0
141,8,13,0.06778038441330787,855340.0
142,8,14,0.04127435014011639,1107176.0
143,8,15,0.019710281360126085,1416085.0
